curie	name	orcid	guessed
GOC:kd	Kirill Degtyarenko	0000-0003-0058-650X	True
GOC:klp	Klemens Pichler	0000-0001-6099-8931	False
GOC:ka	Kristian Axelsen	0000-0003-3889-2879	True
GOC:mf	Marc Feuermann	0000-0002-4187-2863	False
GOC:mt	Michael Tognolli	0000-0002-5278-3321	True
GOC:mm2	Michele Magrane	0000-0003-3544-996X	True
GOC:pm2	Patrick Masson	0000-0001-7646-0052	False
GOC:pdr	Paula Duek Roggli	0000-0002-0819-0473	True
GOC:pga	Penelope Garmiri	0000-0002-2283-2575	False
GOC:plm	Philippe Le Mercier	0000-0001-8528-090X	True
GOC:reh	Reija Hieta	0000-0001-5724-6253	True
GOC:so	Sandra Orchard	0000-0002-8878-3972	True
GOC:sp	Sylvain Poux	0000-0001-7299-6685	False
GOC:ss	Shyamala Sundaram	0000-0003-4209-460X	True
GOC:uh	Ursula Hinz	0000-0002-2365-2234	True
GOC:wmc	Wei Mun Chan	0000-0002-9971-813X	True
GOC:nhn	Nevila Hyka-Nouspikel	0000-0001-7855-209X	True
GOC:jc	Jonas Cicenas	0000-0002-9365-1843	True
GOC:gap	Ghislaine Argoud-Puy	0000-0002-2979-8613	False
GOC:ppm	Pablo Porras Millan	0000-0002-8429-8793	True
GOC:dsz	Dora Szakonyi	0000-0002-9189-629X	True
GOC:dr	Daniela Raciti	0000-0002-4945-5837	False
GOC:kmv	Kimberly Van Auken	0000-0002-1706-4196	False
GOC:rk	Ranjana Kishore	0000-0002-1478-7671	False
GOC:dgh	Doug Howe	0000-0001-5831-7439	False
GOC:dsf	David Fashena	0000-0001-9656-0683	False
GOC:cvs	Ceri Van Slyke	0000-0002-2244-7917	False
GOC:sr	Sridhar Ramachandran	0000-0002-2246-3722	False
GOC:ymb	Yvonne M Bradford	0000-0002-9900-7880	False
GOC:sat	Sabrina Toro	0000-0002-4142-7153	False
GOC:ksf	Ken Frazer	0000-0002-6889-0711	False
GOC:lrz	Leyla Ruzicka	0000-0002-1009-339X	False
GOC:ejs	Erik Segerdell	0000-0002-9611-1279	True
GOC:lb	Lionel Breuza	0000-0002-8075-8625	False
GOC:mh	Melissa Haendel	0000-0001-9114-8737	False
GOC:mag	Marion Gremse	0000-0003-0350-6392	True
GOC:hp	Helen Parkinson	0000-0003-3035-4195	True
GOC:sk	Scott Kalberer	0000-0003-2101-2484	True
GOC:md	Mickael Desvaux	0000-0003-2986-6417	True
GOC:expert_db	Dominique Bergmann	0000-0003-0873-3543	True
GOC:expert_ks	Kevin Struhl	0000-0002-4181-7856	True
GOC:expert_jwt	Jeremy Thorner	0000-0002-2583-500X	True
GOC:expert_mm	Michael Melkonian	0000-0002-5911-6548	True
GOC:expert_pt	Philippa Talmud	0000-0002-5560-1933	True
GOC:expert_rsh	R. Scott Hawley	0000-0002-6478-0494	True
GOC:expert_tf	Tim Formosa	0000-0002-8477-2483	True
GOC:jal	Jamie A. Lee	0000-0001-6182-2372	True
GOC:mmt	Monica Munoz-Torres	0000-0001-8430-6039	False
GOC:at	Anne Thessen	0000-0002-2908-3327	False
GOC:ga	Giulia Antonazzo	0000-0003-0086-5621	False
GOC:ani	Anne Niknejad	0000-0003-3308-6245	True
GOC:pvn	Pim van Nierop	0000-0003-0593-3443	False
GOC:add	Alexander Diehl	0000-0001-9990-8331	False
GOC:pj	Pankaj Jaiswal	0000-0002-1005-8383	False
GOC:rz	Rossana Zaru	0000-0002-3358-4423	False
GOC:lr	Leonore Reiser	0000-0003-0073-0858	False
GOC:mcc2	Marcus Chibucos	0000-0001-9586-0780	False
GOC:das	Debby Siegele	0000-0001-8935-0696	False
GOC:bc	Barbara Kramarz	0000-0002-3898-1727	False
GOC:lnp	Livia Perfetto	0000-0003-4392-8725	False
GOC:ach	Achchuthan Shanmugasundram	0000-0003-2349-6929	False
GOC:mch	Marie-Claire Harrison	0000-0002-3013-9906	False
GOC:mlg	Michelle Gwinn Giglio	0000-0001-7628-5565	False
GOC:jja	Josh Jaffery	0000-0002-1965-6945	True
GOC:tc	Teresa Chu	0000-0003-4172-1966	True
GOC:apd	Allan P Davis	0000-0002-5741-7128	False
GOC:sjm	Steven Marygold	0000-0003-2759-266X	False
